Verb,Function,Level_1,Level_2,Level_3,
温柔,对待,性质与状态,才品,刚柔,
过敏,对象,生物活动,生理活动,患病,
指指点点,对象,社会活动,社交,说话,
提到,对象,社会活动,社交,说话,
期待,对待,生物活动,心理活动,希望,
怀恨,对待,生物活动,心理活动,厌恶,
实现,对象,运动与变化,事态变化,结束,
强调,对象,社会活动,社交,表达,
,范围,社会活动,社交,表达,
恢复,对象,运动与变化,事态变化,消失,
敬爱,对待,生物活动,心理活动,反对赞成,
查处,对象,社会活动,司法,惩办,
监督,对象,社会活动,管理,调查考评,
施暴,对象,社会活动,争斗,侵害,
信赖,对待,生物活动,心理活动,相信怀疑,
追究,对象,社会活动,文教,研究,
思念,对待,生物活动,心理活动,回忆,
回忆,对待,生物活动,心理活动,回忆,
吹,对象,生物活动,头部动作,呼吸,
,对象,生物活动,际遇,失败,
,对象,社会活动,文教,演出,
怕,对待,生物活动,心理活动,害怕,
恐惧,对待,生物活动,心理活动,害怕,
好奇,对待,生物活动,心理活动,害怕,
制裁,对象,社会活动,管理,奖惩,
忌惮,对待,生物活动,心理活动,害怕,
放松,对待,运动与变化,数量变化,减少,
珍惜,对待,生物活动,心理活动,爱护,
懂得,对待,生物活动,心理活动,了解,
不屑,对待,生物活动,心理活动,忽视,
写,对象,社会活动,文教,写作,
,范围,社会活动,文教,写作,
给以,对象,运动与变化,判断,导致,
例外,对待,生物活动,心理活动,估测,
有效,关涉,性质与状态,性质,利弊,
崇敬,对待,生物活动,心理活动,反对赞成,
怒目而视,对象,生物活动,头部动作,看听嗅,
低语,对象,社会活动,社交,说话,
贯彻,对象,运动与变化,事态变化,结束,
,范围,运动与变化,事态变化,结束,
罚款,对象,社会活动,管理,奖惩,
高兴,对待,生物活动,心理活动,高兴,
拒绝,对象,社会活动,帮助,协商,
处罚,对象,社会活动,管理,奖惩,
教育,对象,社会活动,文教,教学,
懂,对待,生物活动,心理活动,了解,
仰慕,对待,生物活动,心理活动,反对赞成,
适合,关涉,性质与状态,性质,对错,
耿耿于怀,对待,生物活动,心理活动,愿意,
起誓,对象,社会活动,社交,表达,
生气,对待,生物活动,心理活动,愤怒,
无效,关涉,性质与状态,性质,利弊,
发放,对象,社会活动,管理,调动,
寄,对待,运动与变化,判断,导致,
利用,对象,生物活动,生活工作,使用,
给,对象,运动与变化,判断,导致,
判断,对象,生物活动,生活工作,使用,
继续,对象,运动与变化,事态变化,进行,
痴迷,对待,生物活动,心理活动,沉迷,
苛求,对待,生物活动,心理活动,希望,
怀念,对待,生物活动,心理活动,回忆,
不无,关涉,运动与变化,判断,有无,
打量,对象,生物活动,心理活动,估测,
撒娇,对象,生物活动,表情,传情,
带,对象,运动与变化,判断,包含,
带,对象,社会活动,社交,表达,
讲究,对待,生物活动,心理活动,关注,
满足,对待,生物活动,心理活动,高兴,
一窍不通,范围,性质与状态,才品,能庸,
施压,对象,社会活动,争斗,侵害,
判处,对象,社会活动,司法,审判,
感谢,对象,社会活动,社交,感谢道歉,
称赞,对象,社会活动,社交,赞赏-祝贺-劝慰,
偏爱,对待,生物活动,心理活动,喜欢,
需要,关涉,运动与变化,判断,需要,
,对待,运动与变化,判断,需要,
言,对象,社会活动,社交,说话,
羡慕,对待,生物活动,心理活动,喜欢,
抛,对象,生物活动,肢体动作,放置,
干涉,对象,社会活动,社交,表达,
向往,对待,生物活动,心理活动,希望,
钟情,对待,生物活动,生活工作,婚恋,
下令,对象,社会活动,管理,宣布,
赞美,对象,社会活动,社交,赞赏-祝贺-劝慰,
关照,对象,社会活动,社交,表达,
学习,对象,社会活动,文教,学习,
组织,对象,社会活动,管理,部署,
避,对象,生物活动,生活工作,走动,
死,对待,生物活动,生理活动,悲伤,
谅解,对待,生物活动,心理活动,爱护,
对待,对待,生物活动,生活工作,使用,
反对,对待,生物活动,心理活动,反对赞成,
留恋,对待,生物活动,心理活动,喜欢,
冲,方向,运动与变化,方位变化,接触,
讨厌,对待,生物活动,心理活动,厌恶,
欠,对象,生物活动,全身动作,屈伸,
置之不理,对待,生物活动,心理活动,忽视,
鼓励,对象,社会活动,社交,赞赏-祝贺-劝慰,
亲近,对待,性质与状态,性质,亲疏,
展露,对象,运动与变化,事态变化,出现,
开玩笑,对象,社会活动,争斗,欺负瞒骗,
关切,对待,社会活动,帮助,照顾,
失望,对待,生物活动,心理活动,悲伤,
情有独钟,对待,生物活动,心理活动,喜欢,
制定,对象,社会活动,管理,议决,
热衷,对待,生物活动,心理活动,喜欢,
执着,对待,性质与状态,才品,巧拙,
视若无睹,对待,生物活动,心理活动,忽视,
冷笑,对象,生物活动,表情,哭笑,
放弃,对象,运动与变化,数量变化,消除,
坐,方向,生物活动,肢体动作,坐立,
苦笑,对象,生物活动,表情,哭笑,
送,对象,社会活动,社交,交际,
宣传,对象,社会活动,管理,宣传,
嘲笑,对象,社会活动,社交,批评,
触动,对象,运动与变化,判断,导致,
效忠,对象,生物活动,生活工作,参与,
比,对象,生物活动,肢体动作,摆弄,
准备,对象,生物活动,生活工作,起居,
达成,范围,运动与变化,事态变化,结束,
有心,对待,生物活动,心理活动,关注,
重复,对象,运动与变化,事态变化,进行,
不怀好意,对待,性质与状态,才品,善恶,
设,对象,社会活动,管理,建立,
孝顺,对待,性质与状态,才品,诚伪,
显示,对象,运动与变化,判断,显示,
赞扬,对象,社会活动,社交,赞赏-祝贺-劝慰,
考察,对象,生物活动,生活工作,使用,
,对象,社会活动,管理,调查考评,
推崇,对待,生物活动,心理活动,关注,
如,对待,运动与变化,判断,相同,
加大,对象,运动与变化,数量变化,增加,
违反,对象,社会活动,争斗,违背,
感冒,对待,生物活动,生理活动,患病,
求,对待,生物活动,心理活动,希望,
,对象,社会活动,社交,请求,
叹,对象,生物活动,心理活动,悲伤,
见,,生物活动,头部动作,看听嗅,
见,,社会活动,社交,问候,
保留,,运动与变化,判断,有无,
改观,,运动与变化,物态变化,好转,
说教,,社会活动,信仰,修行,
欢迎,,社会活动,社交,交际,
颔首,,生物活动,头部动作,头动,
咧嘴,,生物活动,头部动作,嘴动,
咧嘴,,生物活动,头部动作,嘴动,
无益,,性质与状态,性质,利弊,
眷恋,,生物活动,心理活动,喜欢,
思考,,生物活动,心理活动,思考,
收,,社会活动,生产,耕作,
收,,运动与变化,事态变化,结束,
立案,,社会活动,管理,批准,
乐观,,性质与状态,才品,乐悲,
展现,,运动与变化,事态变化,出现,
起诉,,社会活动,司法,诉讼,
报复,,社会活动,争斗,决裂,
担忧,,生物活动,心理活动,悲伤,
排斥,,社会活动,争斗,决裂,
扬,,生物活动,肢体动作,举抬,
扬,,社会活动,管理,宣传,
没辙,,生物活动,心理活动,悲伤,
深,,性质与状态,形貌,深浅厚薄,
深,,性质与状态,知觉,浓淡艳素,
深,,性质与状态,性状,早晚,
深,,性质与状态,性质,好坏,
深,,性质与状态,性质,难易,
深,,性质与状态,性质,重轻,
认同,,生物活动,心理活动,反对赞成,
成,,生物活动,际遇,成功,
成,,运动与变化,物态变化,变化,
成,,性质与状态,性质,原生人造,
