ID,Mode,Proficiency,L1,Verb,Native_COLL,Native,Textbook,Reliability,Accessibility,Functions,Semantics,Textbook_COLL
LDYI_KR,W,NNS2,KR,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
ZLE_KR,W,NNS2,KR,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
AHR_KR,W,NNS2,KR,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
JNU_GN,W,NNS2,EN,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
RFM_VN,W,NNS2,VN,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
CAMLG_TH,W,NNS2,TH,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
CAMLG_TH,W,NNS2,TH,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
JDYI_KR,S,NNS2,KR,产生,Attracted,9.09,20.39,Yes,4,Stimulus,Psych,Attracted
LZSA_KR,W,NNS2,KR,产生,Attracted,9.09,20.39,Yes,4,Stimulus,Psych,Attracted
MTY_RU,W,NNS2,RU,产生,Attracted,9.09,20.39,Yes,4,Stimulus,Psych,Attracted
ZTT_TH,W,NNS2,TH,产生,Attracted,9.09,20.39,Yes,4,Stimulus,Psych,Attracted
SMER_KZ,W,NNS2,TK,产生,Attracted,9.09,20.39,Yes,4,Stimulus,Psych,Attracted
CAMLG_TH,W,NNS2,TH,产生,Attracted,9.09,20.39,Yes,4,Stimulus,Psych,Attracted
JRY_KR,W,NNS2,KR,说,Attracted,105.53,385.55,No,4,Target,Communication,Attracted
JHXU_KR,W,NNS2,KR,亲切,Attracted,0.08,1.85,Yes,4,Recipient,Manner,Attracted
CAMLG_TH,W,NNS2,TH,体贴,Attracted,0.30,1.85,Yes,4,Recipient,Manner,Attracted
LQQ_TH,W,NNS2,TH,做,Attracted,5.41,3.71,Yes,1,Target,Functional,Repelled
WYMU_SD,S,NNS2,AR,公平,Attracted,0.21,1.85,Yes,4,Concerned,Attribute,Attracted
LDYI_KR,W,NNS2,KR,关心,Attracted,1.73,18.54,Yes,2,Recipient,Manner,Attracted
ZZLI_KR,W,NNS2,KR,关心,Attracted,1.73,18.54,Yes,2,Recipient,Manner,Attracted
ZZLI_KR,W,NNS2,KR,关心,Attracted,1.73,18.54,Yes,2,Recipient,Manner,Attracted
YR_ES,W,NNS2,ES,关心,Attracted,1.73,18.54,Yes,2,Recipient,Manner,Attracted
CAMLG_TH,S,NNS2,TH,冷漠,Attracted,0.06,0.00,Yes,6,Recipient,Manner,Repelled
GQQG_JP,W,NNS2,JP,减免,Attracted,0.06,0.00,Yes,6,Scope,Social,Repelled
ZSYI_TH,W,NNS2,TH,友善,Attracted,0.06,0.00,Yes,6,Recipient,Manner,Repelled
AMIN_YE,W,NNS2,AR,友好,Repelled,0.07,1.85,Yes,3,Recipient,Manner,Attracted
CHL_TH,W,NNS2,TH,友好,Repelled,0.07,1.85,Yes,3,Recipient,Manner,Attracted
NLSA_KG,W,NNS2,TK,友爱,Attracted,0.04,0.00,Yes,6,Recipient,Manner,Repelled
PZP_KR,W,NNS2,KR,发,Attracted,0.69,0.00,Yes,2,Target,Functional,Repelled
CLY_KR,W,NNS2,KR,变,Repelled,0.04,0.00,No,2,Scope,Functional,Repelled
ZLO_RU,W,NNS2,RU,吃惊,Attracted,0.06,0.00,Yes,3,Stimulus,Psych,Repelled
MHMAD_TJ,S,NNS2,Other,合适,Repelled,0.08,0.00,No,3,Concerned,Attribute,Repelled
JXZ_KR,S,NNS2,KR,合适,Repelled,0.08,0.00,No,3,Concerned,Attribute,Repelled
JA_KR,W,NNS2,KR,合适,Repelled,0.08,0.00,No,3,Concerned,Attribute,Repelled
JA_KR,W,NNS2,KR,合适,Repelled,0.08,0.00,No,3,Concerned,Attribute,Repelled
JA_KR,W,NNS2,KR,合适,Repelled,0.08,0.00,No,3,Concerned,Attribute,Repelled
SZYI_KR,W,NNS2,KR,和善,Attracted,0.02,0.00,Yes,6,Recipient,Manner,Repelled
JHXU_KR,W,NNS2,KR,和蔼,Attracted,0.02,0.00,Yes,5,Recipient,Manner,Repelled
WDLY_RU,W,NNS2,RU,喜爱,Attracted,0.16,0.00,No,6,Stimulus,Psych,Repelled
JXH_KR,S,NNS2,KR,失去,Attracted,1.50,3.71,Yes,4,Stimulus,Functional,Attracted
JZYA_KR,S,NNS2,KR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
OMLI_TH,S,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
BALID_GN,S,NNS2,EN,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
SWJ_KZ,S,NNS2,TK,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
JHXI_KR,S,NNS2,KR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
NS_ML,S,NNS2,FR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
OMLI_TH,S,NNS2,TH,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
ALFD_GN,S,NNS2,EN,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
ALFD_GN,S,NNS2,EN,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
ALFD_GN,S,NNS2,EN,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
LMHA_TH+I_,S,NNS2,TH,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
FLS_GQ,S,NNS2,ES,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
HLY_TH,S,NNS2,TH,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
JTN_GQ,S,NNS2,ES,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
LLX_KR,S,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
LZA_KR,S,NNS2,KR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
QJZU_KR,S,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
QXX_KR,S,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
ADH_RU,S,NNS2,RU,满意,Attracted,2.71,25.95,Yes,2,Stimulus,Psych,Attracted
AGL_BF,S,NNS2,FR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
AGL_BF,S,NNS2,FR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
AGL_BF,S,NNS2,FR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
BTLK_TG,S,NNS2,EN,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
BTLK_TG,S,NNS2,EN,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
LMA_PT,S,NNS2,PT,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
