ID,Mode,Proficiency,Nationality,L1,Verb,Native_COLL,Native,Textbook,Textbook_COLL,Reliability,Accessibility,Functions,Semantics,Error,ErrorType
MHMAD_TJ,W,NNS2,TJ,Other,是,Attracted,6.62,18.54,Repelled,Yes,1,Concerned,Functional,Error,preposition_misuse
MHMAD_TJ,W,NNS2,TJ,Other,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Error,preposition_misuse
YIL_BR,W,NNS2,BR,PT,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
JHXI_KR,W,NNS2,KR,KR,感受,Attracted,0.11,0.00,Repelled,No,4,Concerned,Psych,Error,preposition_misuse
JJB_KR,W,NNS2,KR,KR,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Error,collocation_error
JHXU_KR,W,NNS2,KR,KR,有,Attracted,39.77,61.17,Attracted,Yes,1,Theme,Functional,Error,collocation_error
ADH_RU,W,NNS2,RU,RU,有,Attracted,4.49,77.85,Attracted,Yes,1,Experiencer,Functional,Error,preposition_misuse
JZUE_KR,S,NNS2,KR,KR,*,Attracted,19.49,87.12,Attracted,*,1,Concerned,Functional,Error,omission
SF_RU,W,NNS2,RU,RU,有,Attracted,19.49,87.12,Attracted,Yes,1,Concerned,Functional,Error,collocation_error
NJX_KR,W,NNS2,KR,KR,有意思,Attracted,19.49,87.12,Attracted,No,1,Concerned,Psych,Error,preposition_misuse
TKLS_JP,W,NNS2,JP,JP,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Error,insertion
SJNS_JP,W,NNS2,JP,JP,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Error,insertion
ZLE_KR,W,NNS2,KR,KR,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Error,insertion
JYU_KZ,W,NNS2,KZ,TK,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Error,insertion
YYL_TH,W,NNS2,TH,TH,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Error,insertion
GBQ_TH,W,NNS2,TH,TH,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Error,insertion
JYN_KR,W,NNS2,KR,KR,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Error,insertion
ZML_TH,W,NNS2,TH,TH,有,Attracted,19.49,87.12,Attracted,Yes,1,Concerned,Functional,Correct,Correct
ZXLI_TH,W,NNS2,TH,TH,有趣,Repelled,0.00,0.00,Repelled,No,1,Concerned,Attribute,Error,preposition_misuse
LYSU_KR,W,NNS2,KR,KR,有,Attracted,19.49,87.12,Attracted,Yes,1,Concerned,Functional,Error,preposition_misuse
CZJ_KR,W,NNS2,KR,KR,怕,Attracted,4.49,77.85,Attracted,No,1,Stimulus,Psych,Error,collocation_error
LWL_ID,W,NNS2,ID,Other,沮丧,Repelled,0.00,0.00,Repelled,Yes,5,Stimulus,Psych,Error,word_order
JZNA_KR+I_,S,NNS2,KR,KR,深刻,Repelled,0.00,0.00,Repelled,No,4,Concerned,Attribute,Error,preposition_misuse
JZXU_KR,W,NNS2,KR,KR,深刻,Repelled,0.00,0.00,Repelled,No,4,Stimulus,Psych,Error,collocation_error
JZXU_KR,W,NNS2,KR,KR,深刻,Repelled,0.00,0.00,Repelled,No,4,Concerned,Attribute,Error,preposition_misuse
ANA_RU,W,NNS2,RU,RU,满足,Attracted,0.12,0.00,Repelled,Yes,4,Concerned,Psych,Error,preposition_misuse
YY_KR,W,NNS2,KR,KR,熟,Attracted,0.08,0.00,Repelled,Yes,3,Concerned,Attribute,Error,preposition_misuse
YZX_KR,W,NNS2,KR,KR,熟悉,Attracted,1.98,5.56,Attracted,Yes,3,Concerned,Psych,Error,preposition_misuse
YZX_KR,W,NNS2,KR,KR,熟悉,Attracted,1.98,5.56,Attracted,Yes,3,Concerned,Psych,Error,preposition_misuse
YCHI_VN,W,NNS2,VN,VN,熟悉,Attracted,1.98,5.56,Attracted,Yes,3,Concerned,Psych,Error,preposition_misuse
PRL_KR,W,NNS2,KR,KR,特别,Repelled,0.04,0.00,Repelled,No,2,Concerned,Attribute,Error,preposition_misuse
JZXIU_KR,W,NNS2,KR,KR,珍惜,Attracted,0.11,0.00,Repelled,Yes,4,Concerned,Psych,Error,preposition_misuse
LWL_ID,W,NNS2,ID,Other,生气,Attracted,0.17,0.00,Repelled,Yes,2,Stimulus,Psych,Correct,Correct
NS_ML,W,NNS2,ML,FR,生气,Attracted,0.17,0.00,Repelled,Yes,2,Stimulus,Psych,Correct,Correct
JJB_KR,W,NNS2,KR,KR,生疏,Attracted,0.03,0.00,N/A,No,5,Concerned,Attribute,Error,preposition_misuse
LK_FR,W,NNS2,FR,FR,留下,Attracted,0.33,0.00,Repelled,No,4,Experiencer,Functional,Error,preposition_misuse
SUZY_KR,S,NNS2,KR,KR,留下,Attracted,0.33,0.00,Repelled,No,4,Experiencer,Functional,Error,preposition_misuse
SUZY_KR,S,NNS2,KR,KR,留下,Attracted,0.33,0.00,Repelled,No,4,Experiencer,Functional,Error,preposition_misuse
SUZY_KR,W,NNS2,KR,KR,留下,Attracted,0.33,0.00,Repelled,No,4,Experiencer,Functional,Error,preposition_misuse
JDR_KR,W,NNS2,KR,KR,留下,Attracted,0.33,0.00,Repelled,No,4,Experiencer,Functional,Error,preposition_misuse
SSXI_KR,W,NNS2,KR,KR,感动,Repelled,0.08,0.00,Repelled,No,3,Reason,Psych,Error,preposition_misuse
AILAN_PK,S,NNS2,PK,Other,知道,Repelled,0.82,1.85,Repelled,No,1,Concerned,Psych,Error,preposition_misuse
MW_RU,S,NNS2,RU,RU,知道,Repelled,0.82,1.85,Repelled,No,1,Theme,Psych,Error,collocation_error
QFM_KR,W,NNS2,KR,KR,给,Attracted,0.16,0.00,Repelled,No,1,Target,Functional,Error,preposition_misuse
YR_ES,W,NNS2,ES,ES,是,Attracted,6.62,18.54,Repelled,Yes,1,Concerned,Functional,Error,word_order
NSJB_RU,W,NNS2,RU,RU,行,Repelled,0.02,0.00,Repelled,No,3,Scope,Functional,Error,collocation_error
JYU_KZ,W,NNS2,KZ,TK,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Error,preposition_misuse
JXJ_KR,W,NNS2,KR,KR,道歉,Attracted,0.22,0.00,Repelled,No,3,Target,Communication,Correct,Correct
MHMAD_TJ,W,NNS2,TJ,Other,送,Repelled,0.11,0.00,Repelled,No,1,Beneficiary,Social,Error,preposition_misuse
KELA_PE,W,NNS2,PE,ES,重要,Repelled,0.72,9.27,Attracted,Yes,2,Concerned,Attribute,Error,preposition_misuse
JDHN_KR,W,NNS2,KR,KR,重要,Repelled,0.72,9.27,Attracted,Yes,2,Concerned,Attribute,Correct,Correct
LCL_KR,W,NNS2,KR,KR,问,Repelled,0.30,0.00,Repelled,No,1,Target,Communication,Error,collocation_error
JJB_KR,W,NNS2,KR,KR,问,Repelled,0.30,0.00,Repelled,No,1,Target,Communication,Error,collocation_error
